evaluation_split,record_id,source_image,noise_level,error_types,changed_fields,product_count,gt_seller_company_name,noisy_seller_company_name,gt_seller_vat_no,noisy_seller_vat_no,gt_seller_address,noisy_seller_address,gt_buyer_company_name,noisy_buyer_company_name,gt_buyer_name,noisy_buyer_name,gt_buyer_country,noisy_buyer_country,gt_buyer_address,noisy_buyer_address,gt_invoice_number,noisy_invoice_number,gt_invoice_date,noisy_invoice_date,gt_payment_sub_total,noisy_payment_sub_total,gt_payment_discount_amount,noisy_payment_discount_amount,gt_payment_discount_percentage,noisy_payment_discount_percentage,gt_payment_due,noisy_payment_due,gt_payment_total,noisy_payment_total,gt_products_json,noisy_products_json
test,2,002.png,low,day_month_swap|transposed_characters|missing_character,invoice.date|products.1.description|buyer.address,2,Williams PLC,Williams PLC,TN21504218908,TN21504218908,"66379 Antonio Roads Shieldsberg, SC 06919","66379 Antonio Roads Shieldsberg, SC 06919",Wilson PLC,Wilson PLC,Diane Myers,Diane Myers,Armenia,Armenia,Unit 1426 Box 5236 DPO AE 74575,Unit 1426 Box 5236 DP AE 74575,706585,706585,10.01.2012,01.10.2012,172.27,172.27,12.63,12.63,16.08,16.08,97.6,97.6,756.81,756.81,"[{""description"": ""envisioneer magnetic portals"", ""index"": ""4"", ""quantity"": 2.32, ""total_price"": 579.01, ""unit_price"": 36.74}, {""description"": ""strategize frictionless content"", ""index"": ""10"", ""quantity"": 9.58, ""total_price"": 448.48, ""unit_price"": 61.03}]","[{""description"": ""envisioneer magnetic portals"", ""index"": ""4"", ""quantity"": 2.32, ""total_price"": 579.01, ""unit_price"": 36.74}, {""description"": ""strategize frictionless cnotent"", ""index"": ""10"", ""quantity"": 9.58, ""total_price"": 448.48, ""unit_price"": 61.03}]"
validation,9,009.png,low,small_amount_delta,products.0.total_price,1,"Griffin, Sanchez and Schultz","Griffin, Sanchez and Schultz",eC74510000168,eC74510000168,"56239 Williams Springs Apt. 931 East Nicolefurt, VA 69891","56239 Williams Springs Apt. 931 East Nicolefurt, VA 69891","Booker, Orozco and Robinson","Booker, Orozco and Robinson",Alejandro Horn,Alejandro Horn,Iran,Iran,"7026 Paige Fields Apt. 710 New Robin, TX 37271","7026 Paige Fields Apt. 710 New Robin, TX 37271",925318,925318,17.05.2020,17.05.2020,126.36,126.36,26.15,26.15,12.91,12.91,167.47,167.47,628.84,628.84,"[{""description"": ""e-enable vertical content"", ""index"": ""3"", ""quantity"": 9.97, ""total_price"": 719.7, ""unit_price"": 77.93}]","[{""description"": ""e-enable vertical content"", ""index"": ""3"", ""quantity"": 9.97, ""total_price"": 721.96, ""unit_price"": 77.93}]"
test,11,011.png,medium,product_description_replace|transposed_characters|decimal_rounding|small_amount_delta|transposed_characters|small_amount_delta|date_offset,products.1.description|products.2.total_price|products.2.quantity|seller.vat_no|payment.total|invoice.date,5,Smith-Sherman,Smith-Sherman,BH74272945547,HB74272945547,"592 Hill Village Victortown, PA 59179","592 Hill Village Victortown, PA 59179","Kent, Richards and Chavez","Kent, Richards and Chavez",David Long,David Long,Western Sahara,Western Sahara,USS Cox FPO AA 81700,USS Cox FPO AA 81700,382311,382311,09.10.2022,08.10.2022,70.03,70.03,14.7,14.7,10.93,10.93,85.82,85.82,497.92,499.0,"[{""description"": ""aggregate next-generation methodologies"", ""index"": ""10"", ""quantity"": 3.36, ""total_price"": 652.4, ""unit_price"": 33.57}, {""description"": ""transform customized info-mediaries"", ""index"": ""7"", ""quantity"": 1.81, ""total_price"": 657.83, ""unit_price"": 85.77}, {""description"": ""deploy plug-and-play convergence"", ""index"": ""10"", ""quantity"": 7.78, ""total_price"": 167.92, ""unit_price"": 33.48}, {""description"": ""embrace e-business bandwidth"", ""index"": ""8"", ""quantity"": 7.81, ""total_price"": 649.84, ""unit_price"": 12.61}, {""description"": ""strategize out-of-the-box niches"", ""index"": ""5"", ""quantity"": 3.73, ""total_price"": 863.04, ""unit_price"": 28.14}]","[{""description"": ""aggregate next-generation methodologies"", ""index"": ""10"", ""quantity"": 3.36, ""total_price"": 652.4, ""unit_price"": 33.57}, {""description"": ""extend killer atcion-items"", ""index"": ""7"", ""quantity"": 1.81, ""total_price"": 657.83, ""unit_price"": 85.77}, {""description"": ""deploy plug-and-play convergence"", ""index"": ""10"", ""quantity"": 10.03, ""total_price"": 167.9, ""unit_price"": 33.48}, {""description"": ""embrace e-business bandwidth"", ""index"": ""8"", ""quantity"": 7.81, ""total_price"": 649.84, ""unit_price"": 12.61}, {""description"": ""strategize out-of-the-box niches"", ""index"": ""5"", ""quantity"": 3.73, ""total_price"": 863.04, ""unit_price"": 28.14}]"
validation,12,012.png,low,small_amount_delta|small_amount_delta,products.1.unit_price|products.0.quantity,5,Barker-Cameron,Barker-Cameron,eb70531331181,eb70531331181,"885 Mitchell Estates Apt. 410 East Jennifermouth, DE 32597","885 Mitchell Estates Apt. 410 East Jennifermouth, DE 32597",Harris Ltd,Harris Ltd,Robert Fox,Robert Fox,Costa Rica,Costa Rica,"54767 Chelsea Squares Apt. 756 West Anthony, NH 09820","54767 Chelsea Squares Apt. 756 West Anthony, NH 09820",527781,527781,17.06.1993,17.06.1993,165.76,165.76,30.31,30.31,13.68,13.68,189.68,189.68,535.0,535.0,"[{""description"": ""enhance ubiquitous technologies"", ""index"": ""4"", ""quantity"": 2.18, ""total_price"": 576.0, ""unit_price"": 18.38}, {""description"": ""generate open-source web-readiness"", ""index"": ""8"", ""quantity"": 5.3, ""total_price"": 590.52, ""unit_price"": 49.47}, {""description"": ""expedite rich bandwidth"", ""index"": ""7"", ""quantity"": 4.19, ""total_price"": 127.5, ""unit_price"": 71.71}, {""description"": ""deploy impactful convergence"", ""index"": ""9"", ""quantity"": 5.28, ""total_price"": 978.25, ""unit_price"": 21.19}, {""description"": ""morph innovative niches"", ""index"": ""9"", ""quantity"": 7.08, ""total_price"": 185.45, ""unit_price"": 73.55}]","[{""description"": ""enhance ubiquitous technologies"", ""index"": ""4"", ""quantity"": 1.46, ""total_price"": 576.0, ""unit_price"": 18.38}, {""description"": ""generate open-source web-readiness"", ""index"": ""8"", ""quantity"": 5.3, ""total_price"": 590.52, ""unit_price"": 51.46}, {""description"": ""expedite rich bandwidth"", ""index"": ""7"", ""quantity"": 4.19, ""total_price"": 127.5, ""unit_price"": 71.71}, {""description"": ""deploy impactful convergence"", ""index"": ""9"", ""quantity"": 5.28, ""total_price"": 978.25, ""unit_price"": 21.19}, {""description"": ""morph innovative niches"", ""index"": ""9"", ""quantity"": 7.08, ""total_price"": 185.45, ""unit_price"": 73.55}]"
validation,13,013.png,low,decimal_rounding,products.0.total_price,3,"Oneal, Rodriguez and Young","Oneal, Rodriguez and Young",sO06640630258,sO06640630258,"74116 Bradley Valleys New Charles, UT 99191","74116 Bradley Valleys New Charles, UT 99191",Evans-Roy,Evans-Roy,Alexander Jones,Alexander Jones,Nicaragua,Nicaragua,"PSC 0169, Box 8396 APO AA 67631","PSC 0169, Box 8396 APO AA 67631",466333,466333,31.12.2012,31.12.2012,143.15,143.15,20.06,20.06,5.03,5.03,113.1,113.1,695.89,695.89,"[{""description"": ""monetize next-generation schemas"", ""index"": ""10"", ""quantity"": 4.51, ""total_price"": 766.81, ""unit_price"": 64.18}, {""description"": ""leverage one-to-one markets"", ""index"": ""1"", ""quantity"": 9.6, ""total_price"": 150.75, ""unit_price"": 45.43}, {""description"": ""cultivate plug-and-play vortals"", ""index"": ""4"", ""quantity"": 4.96, ""total_price"": 202.91, ""unit_price"": 14.26}]","[{""description"": ""monetize next-generation schemas"", ""index"": ""10"", ""quantity"": 4.51, ""total_price"": 767.0, ""unit_price"": 64.18}, {""description"": ""leverage one-to-one markets"", ""index"": ""1"", ""quantity"": 9.6, ""total_price"": 150.75, ""unit_price"": 45.43}, {""description"": ""cultivate plug-and-play vortals"", ""index"": ""4"", ""quantity"": 4.96, ""total_price"": 202.91, ""unit_price"": 14.26}]"
validation,14,014.png,low,decimal_rounding,payment.discount_amount,5,Wilson Inc,Wilson Inc,SP31261125239,SP31261125239,"8942 Tiffany Turnpike Fraziertown, MD 41422","8942 Tiffany Turnpike Fraziertown, MD 41422",Harris-Mcgee,Harris-Mcgee,Steven Mullen,Steven Mullen,Gambia,Gambia,"08410 Kenneth Rapid Suite 870 Wardhaven, VA 93834","08410 Kenneth Rapid Suite 870 Wardhaven, VA 93834",764768,764768,22.02.2011,22.02.2011,35.66,35.66,11.32,11.3,15.67,15.67,87.07,87.07,822.57,822.57,"[{""description"": ""strategize e-business vortals"", ""index"": ""5"", ""quantity"": 9.57, ""total_price"": 115.5, ""unit_price"": 42.61}, {""description"": ""maximize transparent paradigms"", ""index"": ""3"", ""quantity"": 1.0, ""total_price"": 846.03, ""unit_price"": 18.45}, {""description"": ""whiteboard cutting-edge e-commerce"", ""index"": ""3"", ""quantity"": 1.01, ""total_price"": 671.74, ""unit_price"": 49.5}, {""description"": ""monetize bleeding-edge paradigms"", ""index"": ""6"", ""quantity"": 4.41, ""total_price"": 361.33, ""unit_price"": 69.53}, {""description"": ""reinvent intuitive metrics"", ""index"": ""9"", ""quantity"": 4.92, ""total_price"": 754.28, ""unit_price"": 61.59}]","[{""description"": ""strategize e-business vortals"", ""index"": ""5"", ""quantity"": 9.57, ""total_price"": 115.5, ""unit_price"": 42.61}, {""description"": ""maximize transparent paradigms"", ""index"": ""3"", ""quantity"": 1.0, ""total_price"": 846.03, ""unit_price"": 18.45}, {""description"": ""whiteboard cutting-edge e-commerce"", ""index"": ""3"", ""quantity"": 1.01, ""total_price"": 671.74, ""unit_price"": 49.5}, {""description"": ""monetize bleeding-edge paradigms"", ""index"": ""6"", ""quantity"": 4.41, ""total_price"": 361.33, ""unit_price"": 69.53}, {""description"": ""reinvent intuitive metrics"", ""index"": ""9"", ""quantity"": 4.92, ""total_price"": 754.28, ""unit_price"": 61.59}]"
validation,18,018.png,low,missing_character|digit_transposition,seller.company_name|payment.discount_percentage,6,Bruce Group,Bruce Grup,gz05254977645,gz05254977645,"067 Cheyenne Inlet Apt. 488 Port David, TN 94332","067 Cheyenne Inlet Apt. 488 Port David, TN 94332","Dawson, Burke and Hunt","Dawson, Burke and Hunt",Patricia Reilly,Patricia Reilly,Djibouti,Djibouti,"33023 Holt Camp Morrisonview, VA 68280","33023 Holt Camp Morrisonview, VA 68280",271930,271930,20.07.2019,20.07.2019,94.36,94.36,35.96,35.96,7.83,7.38,198.98,198.98,780.2,780.2,"[{""description"": ""innovate visionary vortals"", ""index"": ""8"", ""quantity"": 8.83, ""total_price"": 919.67, ""unit_price"": 96.34}, {""description"": ""productize e-business applications"", ""index"": ""1"", ""quantity"": 7.4, ""total_price"": 935.73, ""unit_price"": 31.14}, {""description"": ""seize impactful channels"", ""index"": ""10"", ""quantity"": 4.19, ""total_price"": 777.78, ""unit_price"": 48.94}, {""description"": ""syndicate 24/7 communities"", ""index"": ""9"", ""quantity"": 5.57, ""total_price"": 904.55, ""unit_price"": 79.15}, {""description"": ""evolve intuitive systems"", ""index"": ""1"", ""quantity"": 9.81, ""total_price"": 573.55, ""unit_price"": 80.13}, {""description"": ""enhance e-business markets"", ""index"": ""2"", ""quantity"": 9.52, ""total_price"": 849.37, ""unit_price"": 58.05}]","[{""description"": ""innovate visionary vortals"", ""index"": ""8"", ""quantity"": 8.83, ""total_price"": 919.67, ""unit_price"": 96.34}, {""description"": ""productize e-business applications"", ""index"": ""1"", ""quantity"": 7.4, ""total_price"": 935.73, ""unit_price"": 31.14}, {""description"": ""seize impactful channels"", ""index"": ""10"", ""quantity"": 4.19, ""total_price"": 777.78, ""unit_price"": 48.94}, {""description"": ""syndicate 24/7 communities"", ""index"": ""9"", ""quantity"": 5.57, ""total_price"": 904.55, ""unit_price"": 79.15}, {""description"": ""evolve intuitive systems"", ""index"": ""1"", ""quantity"": 9.81, ""total_price"": 573.55, ""unit_price"": 80.13}, {""description"": ""enhance e-business markets"", ""index"": ""2"", ""quantity"": 9.52, ""total_price"": 849.37, ""unit_price"": 58.05}]"
test,23,023.png,low,decimal_rounding,products.1.unit_price,6,"Robinson, Chapman and Avila","Robinson, Chapman and Avila",if91547447116,if91547447116,"00933 Lori Bridge Lake Angelaton, FL 45832","00933 Lori Bridge Lake Angelaton, FL 45832",Pierce LLC,Pierce LLC,Gary Reed,Gary Reed,Guadeloupe,Guadeloupe,"68047 Gallegos Isle Suite 639 Steeleton, MP 61511","68047 Gallegos Isle Suite 639 Steeleton, MP 61511",855062,855062,10.11.1994,10.11.1994,62.5,62.5,32.93,32.93,13.23,13.23,106.01,106.01,454.76,454.76,"[{""description"": ""synergize best-of-breed users"", ""index"": ""8"", ""quantity"": 2.69, ""total_price"": 926.44, ""unit_price"": 31.16}, {""description"": ""transform open-source e-tailers"", ""index"": ""4"", ""quantity"": 8.89, ""total_price"": 444.89, ""unit_price"": 19.79}, {""description"": ""iterate plug-and-play supply-chains"", ""index"": ""4"", ""quantity"": 6.24, ""total_price"": 26.57, ""unit_price"": 86.4}, {""description"": ""seize revolutionary interfaces"", ""index"": ""8"", ""quantity"": 7.97, ""total_price"": 877.96, ""unit_price"": 80.58}, {""description"": ""facilitate cross-media e-tailers"", ""index"": ""1"", ""quantity"": 6.82, ""total_price"": 664.27, ""unit_price"": 54.2}, {""description"": ""target bricks-and-clicks deliverables"", ""index"": ""8"", ""quantity"": 3.67, ""total_price"": 553.29, ""unit_price"": 63.63}]","[{""description"": ""synergize best-of-breed users"", ""index"": ""8"", ""quantity"": 2.69, ""total_price"": 926.44, ""unit_price"": 31.16}, {""description"": ""transform open-source e-tailers"", ""index"": ""4"", ""quantity"": 8.89, ""total_price"": 444.89, ""unit_price"": 19.8}, {""description"": ""iterate plug-and-play supply-chains"", ""index"": ""4"", ""quantity"": 6.24, ""total_price"": 26.57, ""unit_price"": 86.4}, {""description"": ""seize revolutionary interfaces"", ""index"": ""8"", ""quantity"": 7.97, ""total_price"": 877.96, ""unit_price"": 80.58}, {""description"": ""facilitate cross-media e-tailers"", ""index"": ""1"", ""quantity"": 6.82, ""total_price"": 664.27, ""unit_price"": 54.2}, {""description"": ""target bricks-and-clicks deliverables"", ""index"": ""8"", ""quantity"": 3.67, ""total_price"": 553.29, ""unit_price"": 63.63}]"
test,26,026.png,low,transposed_characters|missing_character|small_amount_delta,buyer.name|seller.vat_no|products.0.total_price,1,"Anderson, Lawson and Bailey","Anderson, Lawson and Bailey",QY87849318368,QY8784318368,"0954 Stone Lake Suite 243 Davidview, IN 57724","0954 Stone Lake Suite 243 Davidview, IN 57724","Kennedy, Johnson and Lin","Kennedy, Johnson and Lin",Michael Simon,Mcihael Simon,Cayman Islands,Cayman Islands,"3559 Jeffrey Branch Suite 516 West Tristanland, TN 41179","3559 Jeffrey Branch Suite 516 West Tristanland, TN 41179",677740,677740,28.04.2018,28.04.2018,73.65,73.65,27.99,27.99,9.81,9.81,116.9,116.9,534.26,534.26,"[{""description"": ""whiteboard sticky e-tailers"", ""index"": ""2"", ""quantity"": 1.1, ""total_price"": 238.63, ""unit_price"": 97.85}]","[{""description"": ""whiteboard sticky e-tailers"", ""index"": ""2"", ""quantity"": 1.1, ""total_price"": 237.45, ""unit_price"": 97.85}]"
validation,27,027.png,high,decimal_rounding|company_abbreviation|small_amount_delta|extra_space|company_abbreviation|date_offset|missing_character|ocr_char_confusion|decimal_rounding|ocr_char_confusion|missing_value,products.2.unit_price|buyer.company_name|products.0.unit_price|buyer.name|seller.company_name|invoice.date|buyer.address|products.1.description|products.1.total_price|products.0.description|products.0.quantity,7,Smith Ltd,Smith,SG45926144535,SG45926144535,"83946 Stanley Mall East Ronald, WV 84556","83946 Stanley Mall East Ronald, WV 84556","Wells, Arnold and Galloway","Wells, Arnold & Galloway",Shawn Butler,Shaw n Butler,United States Virgin Islands,United States Virgin Islands,"8731 Michael Lake Cookburgh, WY 77347","8731 ichael Lake Cookburgh, WY 77347",415039,415039,16.06.1998,13.06.1998,81.44,81.44,17.49,17.49,9.0,9.0,137.66,137.66,454.13,454.13,"[{""description"": ""cultivate cross-media paradigms"", ""index"": ""10"", ""quantity"": 5.06, ""total_price"": 359.87, ""unit_price"": 93.41}, {""description"": ""e-enable plug-and-play info-mediaries"", ""index"": ""6"", ""quantity"": 8.48, ""total_price"": 231.44, ""unit_price"": 97.53}, {""description"": ""strategize 24/7 partnerships"", ""index"": ""3"", ""quantity"": 3.75, ""total_price"": 604.39, ""unit_price"": 54.49}, {""description"": ""exploit 24/7 niches"", ""index"": ""3"", ""quantity"": 6.79, ""total_price"": 594.87, ""unit_price"": 97.39}, {""description"": ""incentivize cross-platform partnerships"", ""index"": ""9"", ""quantity"": 4.24, ""total_price"": 122.57, ""unit_price"": 36.71}, {""description"": ""whiteboard global niches"", ""index"": ""9"", ""quantity"": 7.07, ""total_price"": 63.01, ""unit_price"": 78.56}, {""description"": ""enable intuitive niches"", ""index"": ""9"", ""quantity"": 4.93, ""total_price"": 864.64, ""unit_price"": 60.93}]","[{""description"": ""cu1tivate cross-media paradigms"", ""index"": ""10"", ""quantity"": null, ""total_price"": 359.87, ""unit_price"": 91.88}, {""description"": ""e-enable plug-and-play inf0-mediaries"", ""index"": ""6"", ""quantity"": 8.48, ""total_price"": 231.4, ""unit_price"": 97.53}, {""description"": ""strategize 24/7 partnerships"", ""index"": ""3"", ""quantity"": 3.75, ""total_price"": 604.39, ""unit_price"": 54.5}, {""description"": ""exploit 24/7 niches"", ""index"": ""3"", ""quantity"": 6.79, ""total_price"": 594.87, ""unit_price"": 97.39}, {""description"": ""incentivize cross-platform partnerships"", ""index"": ""9"", ""quantity"": 4.24, ""total_price"": 122.57, ""unit_price"": 36.71}, {""description"": ""whiteboard global niches"", ""index"": ""9"", ""quantity"": 7.07, ""total_price"": 63.01, ""unit_price"": 78.56}, {""description"": ""enable intuitive niches"", ""index"": ""9"", ""quantity"": 4.93, ""total_price"": 864.64, ""unit_price"": 60.93}]"
